id,name_stati,longitude,latitude
1,K1 Hospital Entry,44.308371,35.522268
2,Ganesa 1,44.305644,35.527752
3,Ganesa 2,44.301297,35.530982
4,Treatment Unit,44.310347,35.547146
5,Baba Compound,44.329696,35.5386
6,Kirkuk Refinery 2,44.337154,35.535251
7,Landfill,44.337669,35.524209
8,Kirkuk Refinery 1,44.328108,35.532108
9,Oil Company Wall 1,44.361998,35.522113
10,Oil Tanks,44.310555,35.510595
11,Al-Amal Al-Shaby1,44.326458,35.506655
12,Al-Amal Al-Shaby2,44.331635,35.503419
13,Bagwan,44.286836,35.536956
14,Oil Company Wall 2,44.355931,35.53583
15,Eternity Fire,44.350329,35.526856
16,Gorga Chal 1,44.361268,35.540953
17,Gorga Chal 2,44.356996,35.544808
18,Erbil Road1,44.371982,35.531569
19,Shoraw Hospital,44.381276,35.523566
20,Oil Company Wall3,44.365698,35.512674
21,Shoraw Entry,44.380936,35.51892
22,Shoraw,44.407627,35.51845
23,Arafa 2000 Dar,44.361189,35.497151
24,Al-Amal Al-Shaby3,44.339119,35.499665
25,Al-Amal Al-Shaby4,44.349851,35.496558
26,Arafa   2,44.360872,35.487339
27,Arafa 3,44.369966,35.485998
28,Rahimawa,44.39435,35.497998
29,Arafa 4,44.377738,35.493739
30,Taba,44.384436,35.492195
31,Erbil Road 2,44.384053,35.497865
32,Kirkuk Stadium Club,44.385346,35.484419
33,Almas,44.383815,35.481318
34,Arafa Entry,44.375569,35.478571
35,Tikrit Road 1,44.360558,35.448503
36,Kirkuk Gas Filling Plant,44.367545,35.462326
37,Bader District,44.335047,35.433371
38,Tikrit Road 2,44.342326,35.436007
39,Baath District,44.360143,35.433281
40,Corniche1,44.390179,35.462533
41,Khabat Bridge,44.394474,35.472599
42,Al-Jumhori Hospital,44.384998,35.462092
43,Azadi,44.408617,35.48
44,Al-Shorga,44.408787,35.46121
45,Baghdad Garage,44.371133,35.456511
46,Quds Street 1,44.366964,35.433605
47,Quds Street 2,44.376181,35.446818
48,Corniche2,44.386369,35.449268
49,Baghdad Street,44.378874,35.441512
50,Al-Musala,44.395676,35.450415
51,Al-Qadisiya,44.415498,35.426249
52,Sahat Ihtifalat1,44.354029,35.42599
53,North Gas Housing,44.340594,35.421716
54,Tikrit Chick Point,44.318804,35.417222
55,Sahat Ihtifalat2,44.35828,35.42237
